frequency,impedance
1.001,(-397.03100710597573+2734.8384204384633j)
1.0019999999999998,(-396.63490461631875+2732.1073699078415j)
1.0029999999999997,(-396.2395921125718+2729.3817633526724j)
1.0039999999999996,(-395.84506723426654+2726.6615845057263j)
1.0049999999999994,(-395.45132763032876+2723.946817164514j)
1.0059999999999993,(-395.05837095903263+2721.237445190971j)
1.0069999999999992,(-394.66619488795453+2718.5334525111357j)
1.0079999999999991,(-394.2747970939262+2715.8348231148316j)
1.008999999999999,(-393.88417526298895+2713.14154105535j)
1.009999999999999,(-393.49432709034926+2710.45359044914j)
1.0109999999999988,(-393.10525028033123+2707.7709554754892j)
1.0119999999999987,(-392.7169425463344+2705.0936203762226j)
1.0129999999999986,(-392.3294016107857+2702.421569455381j)
1.0139999999999985,(-391.94262520509784+2699.75478707893j)
1.0149999999999983,(-391.5566110696236+2697.0932576744412j)
1.0159999999999982,(-391.17135695361145+2694.436965730796j)
1.0169999999999981,(-390.78686061516345+2691.7858957978847j)
1.017999999999998,(-390.40311982118993+2689.140032486302j)
1.018999999999998,(-390.02013234736734+2686.4993604670526j)
1.0199999999999978,(-389.6378959780948+2683.863864471256j)
1.0209999999999977,(-389.2564085064521+2681.2335292898492j)
1.0219999999999976,(-388.8756677341566+2678.6083397732964j)
1.0229999999999975,(-388.4956714715209+2675.988280831297j)
1.0239999999999974,(-388.1164175374107+2673.3733374324943j)
1.0249999999999972,(-387.73790375920476+2670.763494604194j)
1.0259999999999971,(-387.36012797275106+2668.1587374320707j)
1.026999999999997,(-386.9830880223273+2665.55905105989j)
1.027999999999997,(-386.6067817605986+2662.964420689222j)
1.0289999999999968,(-386.23120704857786+2660.3748315791645j)
1.0299999999999967,(-385.856361755585+2657.7902690460573j)
1.0309999999999966,(-385.482243759206+2655.21071846321j)
1.0319999999999965,(-385.10885094525315+2652.6361652606242j)
1.0329999999999964,(-384.73618120772613+2650.0665949247204j)
1.0339999999999963,(-384.36423244877125+2647.5019929980654j)
1.0349999999999961,(-383.99300257864206+2644.942345079094j)
1.035999999999996,(-383.62248951566175+2642.3876368218507j)
1.036999999999996,(-383.2526911861818+2639.8378539357122j)
1.0379999999999958,(-382.88360552454634+2637.2929821851285j)
1.0389999999999957,(-382.51523047305056+2634.7530073893518j)
1.0399999999999956,(-382.1475639819047+2632.2179154221735j)
1.0409999999999955,(-381.78060400919503+2629.6876922116685j)
1.0419999999999954,(-381.41434852084643+2627.1623237399235j)
1.0429999999999953,(-381.04879549058484+2624.6417960427925j)
1.0439999999999952,(-380.68394289989925+2622.1260952096254j)
1.044999999999995,(-380.3197887380057+2619.6152073830212j)
1.045999999999995,(-379.9563310018094+2617.109118758571j)
1.0469999999999948,(-379.5935676958683+2614.607815584602j)
1.0479999999999947,(-379.2314968323566+2612.11128416193j)
1.0489999999999946,(-378.870116431028+2609.6195108436054j)
